"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",2,"17,5",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",1,"12,5",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",13,"9,5",39
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",3,"8,6",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",14,"5,5",4
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",0,"3,6",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",8,"1,1",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",9,"0,8",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",4,"0,3",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",16,"0,2",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",5,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",6,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",7,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",10,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",11,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",12,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",15,"0,0",1
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",17,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",18,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",19,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",20,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",21,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",22,"0,0",0
19179,"Andırın/Yeşilova Köyü","Kahramanmaraş","2022-05-05",37.44372,36.31486,"2022-05-05",23,"0,0",0
