"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",0,"51,6",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",21,"47,2",87
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",22,"34,8",158
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",23,"18,6",116
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",20,"13,6",1
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",19,"9,5",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",16,"0,4",12
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",9,"0,4",6
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",17,"0,2",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",10,"0,2",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",2,"0,0",9
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",3,"0,0",61
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",8,"0,0",1
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",15,"0,0",8
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",23,"15,1",116
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",3,"11,0",61
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",22,"8,3",158
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",4,"2,5",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",10,"1,9",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",5,"0,9",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",2,"0,1",9
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",9,"0,1",6
